MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538007181,2024-01-01T02:28:31,32.54646,-118.73553,10.5,269.9,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:30:51,32.54607,-118.74346,10.5,265.4,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:32:00,32.54591,-118.74749,10.7,269.6,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:33:30,32.54565,-118.75239,10.5,262.0,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:34:41,32.54536,-118.75677,10.5,266.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:37:12,32.54483,-118.76542,10.5,264.6,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:39:29,32.54439,-118.77315,10.7,265.9,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:40:41,32.54411,-118.77736,10.7,267.7,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:38:21,32.54463,-118.76926,10.7,269.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:41:51,32.54382,-118.78148,10.7,259.8,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:42:59,32.5435,-118.78544,10.8,264.7,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:46:30,32.54247,-118.79797,11.0,262.8,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:48:51,32.54164,-118.80659,10.9,262.4,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:51:09,32.54093,-118.81447,10.9,263.7,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:56:41,32.5393,-118.83373,10.4,261.9,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:57:49,32.53914,-118.83767,10.6,265.1,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:52:20,32.5406,-118.81864,10.8,263.6,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:58:50,32.53904,-118.84118,10.7,267.5,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:55:31,32.53952,-118.82965,10.6,264.5,266.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:53:21,32.54027,-118.82221,10.5,269.1,262.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:02:21,32.53854,-118.85349,10.7,269.0,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:04:30,32.53806,-118.861,10.5,266.8,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:09:01,32.53717,-118.87717,10.6,265.0,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:07:51,32.53745,-118.87272,10.9,264.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:10:10,32.53689,-118.88086,10.6,265.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:05:41,32.53787,-118.86507,10.7,270.5,265.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:14:30,32.536,-118.89632,10.9,264.6,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:18:01,32.5354,-118.90858,10.7,267.5,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:11:11,32.5367,-118.88437,10.9,266.7,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T02:36:00,32.54527,-118.75794,10.6,262.3,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:19:10,32.53509,-118.91294,10.3,264.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:13:22,32.53627,-118.89213,11.0,264.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:12:21,32.5365,-118.88864,10.8,268.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:16:49,32.53558,-118.90484,10.5,269.7,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:20:20,32.53483,-118.91657,10.5,262.2,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:23:30,32.53416,-118.92769,10.4,267.1,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T03:26:50,32.53349,-118.93925,10.8,263.7,264.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
